Row ID,Defect/Test ID,Owner,Hypothesis,Command/Action,Expected result,Actual result,Evidence,Commit SHA,Deployed SHA,Status,Next action
R1-WC-011,C-SEC-2,Wave C security + UI reviewers (verified by orchestrator by EXECUTION),"Packet 2's alias tightening severed broad->narrow paths","Compiled shipped rbacConfig.ts with esbuild and executed hasPermission","fleet:view must NOT satisfy telemetry.live_state.read","CONFIRMED PARTIAL FIX — EXECUTED PROOF: hasPermission([fleet:view],telemetry.live_state.read)=TRUE; ([fleet:view],telemetry.devices.read)=TRUE; ([telematics:view],telemetry.live_state.read)=TRUE. The 3 witnesses Packet 2 DID assert are correctly denied. Cause: addPermissionGroup merges groups sharing any token; untouched TELEMATICS_GPS_VIEW/TELEMATICS_DEVICES_VIEW still list fleet:view beside the canonical token that is in the tightened group, so removed tokens flow back. The contract test never asserted these cases so it passes while the invariant is violated. Impact: Safety Manager/Compliance Manager/Read-only Auditor/Mechanic hold fleet:view not map:view -> SPA shows and routes /map-view and /iot-devices then every API 403s",scratchpad/alias_check.mjs execution output,WORKTREE,979c142,MUST FIX BEFORE GATE 5,"Remove fleet/telematics:view from the two untouched groups; add the missing negative assertions"
R1-WC-012,C-SEC-3,Wave C security reviewer,"The backend satisfy-sets are the enforcing authority","Compare EndpointMappings:2779 satisfy-sets against FoundationServices engine copy","Both copies carry the same groups","CONFIRMED DRIFT (pre-existing, now codified): FoundationServices has NO case for telemetry.devices.read/rules.read/recommendations.read/audit:view, so the EndpointMappings satisfy-set at :2779 is DEAD in enforcement — granting the documented token telematics:devices:view does NOT open /api/devices. Packet 5 mirrored only telemetry.live_state.read. New tests now assert behavior the engine does not implement",Wave C security report,WORKTREE,979c142,MUST FIX,"Add the four groups to FoundationServices or share one table"
R1-WC-013,C-SEC-4,Wave C security reviewer (corroborates C-UI-1),"Only true portal identities are bounced","Cross-check ladder against LIVE roles table grants","Internal staff unaffected","CONFIRMED + EXTENDED: Customer Service (role 9) and CRM & Sales Manager (role 15) bounced out of the whole SPA. NEW beyond the UI reviewer: Vendor Service Provider (role 16 = vendor_portal:view, maintenance:view, pod:view) matches NO ladder rung — the frontend catalogue assumes customer_portal:view which the DB role does not hold — so a valid vendor session lands on /login. test-rbac-contract.mjs tests the idealized frontend catalogue, NOT shipped DB grants, which is why it passes",Wave C security report,WORKTREE,979c142,MUST FIX BEFORE GATE 5,"Key the bounce on actual customer binding; test against DB grants not the catalogue"
R1-WC-014,C-SEC-5,Wave C security reviewer,"Newly gated mutations use an appropriate permission tier","Inspect POST /api/digital-forms/submissions gate vs its write","Mutations gated with :manage tier","CONFIRMED: EndpointMappings:813 POST /api/digital-forms/submissions requires only safety:view and INSERTs a submission with hard-coded status='Passed' — a Read-only Auditor can fabricate a Passed compliance record. Control-tower SimpleAction POSTs gated dashboard:view let a viewer mint eta.sent / dispatch.review.created audit records",Wave C security report,WORKTREE,979c142,MUST FIX,"safety:manage on submissions; dispatch/maintenance:manage on control-tower actions"
R1-WC-015,C-SEC-6,Wave C security reviewer (extends C-UI-3),"Binding validation covers role changes","Inspect UpdateAdminUser binding validation condition","Binding revalidated on role change","CONFIRMED EXTENSION: UpdateAdminUser validates the binding ONLY when the customerId key is present, so changing a bound portal user to an internal role while omitting the key RETAINS the binding and bricks the account — the exact outcome the guard's own comment warns about",Wave C security report,WORKTREE,979c142,MUST FIX,"Clear or revalidate retained binding whenever role changes"
R1-G1-RETRACT,GATE-1,Orchestrator,"Gate 1 PASS was established against a valid oracle","Re-run the five core defect queries against migration-pure staging_upgrade instead of dev-shaped opstrax_local","Same result on both databases","RETRACTION — GATE 1 FAILS. opstrax_local is NOT migration-pure: the bounded Dev boot ran runtime *SchemaService DDL and created the columns under test (routes 24 cols vs staging_upgrade 16). On the migration-pure replica DEF-017 FAILS (column efficiency_score does not exist) and DEF-019 FAILS (column incident_status does not exist). DEF-016/018/020 pass",psql against both databases,WORKTREE,979c142,GATE 1 FAIL — RETRACTED,Stage88 covering what deployed code actually queries
R1-WC-016,C-TEST-1,Wave C test reviewer (verified by orchestrator),"The 83-pair allowlist grandfathers acceptable gaps only","Execute production endpoint SQL against migration-pure staging_upgrade","Allowlisted columns are unreachable by production requests","CONFIRMED CRITICAL: the allowlist's justification is factually false. 1006 runtime-only columns absent from migration-pure DB; 507 distinct names; ~317 referenced in controller code. /api/routes, /api/routes/summary, /api/expenses/summary, /api/safety/summary all reproduce 42703. stage86 enrolled sla_risk while allowlisting efficiency_score FROM THE SAME CASE EXPRESSION",psql execution on staging_upgrade,WORKTREE,979c142,MUST FIX — BLOCKS RELEASE,Stage88 + forbid allowlisting any column referenced in controller SQL
R1-WC-017,C-TEST-4,Wave C test reviewer (verified by orchestrator),"The parity test covers the runtime schema surface","Count *SchemaService.cs files vs those the test scans","Test scans all declaring services","CONFIRMED: 48 *SchemaService.cs files exist; the parity test scans 2. It also matches column names table-unqualified, so pairs pass via collisions on unrelated tables (routes.cost_estimate proven missing AND queried, yet reported covered)",ls + grep verification,WORKTREE,979c142,MUST FIX,"Glob all services; match table+column together"
R1-WC-018,C-TEST-2,Wave C test reviewer,"The DEF-006 gate-coverage test result is exact and two-way","Reproduce SkipString parsing behaviour","Parser correctly skips string literals","CONFIRMED PARSER BUG: SkipString treats apostrophes in COMMENTS as string delimiters, producing 25 megabodies (up to 2.38M chars) that inherit gate markers from other methods. Corrected parser finds 32 ungated routes not 26; 6 are outside the allowlist. Removing a real gate from any of ~25 handlers would go UNDETECTED. A comment mentioning RequirePermission counts as a gate",Wave C test report,WORKTREE,979c142,MUST FIX,"Treat ' as char literal; strip comments; add ordering assertion"
R1-WC-019,C-TEST-3,Wave C test reviewer,"The 25-orphan list's re-established-elsewhere rationale is accurate","Check orphan-created tables against migration-pure DB and controller SQL","Orphan tables exist or are unused","CONFIRMED FALSE for >=6 orphan waves: tenant_api_keys, tenant_webhook_settings, company_profile, user_notification_prefs (stage33), settlement_* (37), tax_profiles (38), billing_consolidation_runs (39), revenue_recognition_* (40), journal_entries/gl_periods (45/46). GET /api/settings/api-keys 500s with 42P01 for a legitimately gated internal user",Wave C test report,WORKTREE,979c142,MUST FIX,Assert per orphan that no created table is referenced unguarded
R1-WC-020,C-TEST-5,Wave C test reviewer (verified by orchestrator),"The 410-test DB lane proves protected-environment parity","Compare opstrax_local against staging_upgrade schema","Lane runs against a representative schema","CONFIRMED: the DB lane ran against dev-shaped opstrax_local and therefore CANNOT catch the DEF-016 class. It proves handler logic only. All DB-lane evidence in this run must be re-read with that limitation stated",psql column counts,WORKTREE,979c142,EVIDENCE QUALIFIED,Point DB lane or a smoke subset at a migration-pure database
R1-CAP-001,CAPABILITY,Orchestrator (user-authorized),"Missing project skills and SME agents can be added to raise accuracy of this and future runs","Create .claude/skills/opstrax-{schema-authority,authorization,evidence-discipline} and .claude/agents/{schema-authority,authorization-auditor,adversarial-reviewer,release-verifier,telematics-security}.md","Capability gap recorded at bootstrap is closed","CREATED: 3 skills + 5 SME agents. .claude/agents/ did not previously exist. Encodes this run's hard-won rules: migration-pure oracle only; runtime SchemaService split-brain; alias-closure merge semantics (verify by EXECUTION not diff); 4-copy permission drift with FoundationServices as the enforcing authority; restricted-role harness for privilege defects; eslint ignores frontend/src; instruments-before-product; retract-loudly; never fabricate a defect",.claude/skills + .claude/agents frontmatter validated,WORKTREE,979c142,DONE,Applies to Wave C round 2 and all future runs
R1-CAP-002,PRESERVATION,Orchestrator,"User's uncommitted work remains untouched through 9 packets","shasum -a 256 on the 4 user-owned dirty files; compare ui.tsx diffstat to bootstrap figure","No packet modified them","VERIFIED: ui.tsx diffstat identical to bootstrap (10 insertions/5 deletions = 15 changed). Content hashes re-anchored to scratchpad/user_files_reference.txt after the session-gap scratchpad clear. LiveMapPage.tsx and TelemetryLiveStateService.cs consistent with the 3-change description from Wave A recon; neither was in any packet's owned set",scratchpad/user_files_reference.txt,WORKTREE,979c142,PRESERVED,Re-verify at Gate 6 before any commit
R1-WB-012,C-SEC-2/C-UI-note,Packet 9 (verified by orchestrator by EXECUTION),"Removing broad tokens from the two untouched sibling groups closes the alias re-entry","Make TELEMATICS_DEVICES_VIEW (:247) and TELEMATICS_GPS_VIEW (:256) page-gating-only; add the missing negative assertions","All four broad->narrow paths denied; internal roles keep direct surfaces","VERIFIED BY EXECUTION: all 4 leaks now denied (fleet:view and telematics:view -> live_state.read and devices.read). Internal surfaces intact: map:view->live_state true, telematics:devices:view->devices true, and correctly no cross-satisfaction. Tightened frontend groups now byte-identical to the enforcing backend satisfy-sets. A FOURTH leak (telematics:view->devices.read) was found beyond the three I named",scratchpad/alias_recheck.mjs output,WORKTREE,979c142,FIXED — AWAITING WAVE C ROUND 2,Re-review after all packets land
R1-WB-013,C-UI-1/C-SEC-4,Packet 9 (verified by orchestrator),"Keying portal confinement on binding rather than permission shape frees internal staff","isPortalConfinedSession: server customerId binding if present, else customer_portal:view AND no internal direct grant (21-token list); new vendor ladder rung","Internal staff reach their workspaces","FIXED: Customer Service -> /dispatch, CRM & Sales Manager -> /customers, Vendor Service Provider -> /maintenance. App.tsx bounces on isPortalConfinedSession not landing-route equality. Ladder is now data-driven and VERIFIES THE TARGET ROUTE'S OWN GUARD before returning it",test-rbac-contract.mjs,WORKTREE,979c142,FIXED — AWAITING WAVE C ROUND 2,Backend can upgrade heuristic to authoritative binding by adding customerId to the login payload
R1-WB-014,C-UI-2,Packet 9 (verified by orchestrator),"Only audit-logs has a nav/route mismatch","Sweep all 91 modules: nav requiredPermission + match mode vs resolved route guard following Navigate redirects, splats and layout parents","All nav items imply their route guard","THREE mismatches not one: audit-logs (reports.manage -> audit:view), user-management (users.manage semantic -> users:view direct), driver-messaging (dispatch.view -> messages:send via /messages redirect). Sweep now reports 0/91 and is baked into the contract script as a per-module assertion",Packet 9 sweep,WORKTREE,979c142,FIXED — AWAITING WAVE C ROUND 2,None
R1-WB-015,NEW-R1-10,Packet 9 (found beyond brief),"Token spelling is normalized consistently in the landing ladder","Execute ladder against DB-seed token spellings","Seeded roles reach their portals","NEW DEFECT FOUND AND FIXED: normalize folded . to : but NOT - to _. The SEEDED Customer Portal User carries customer-portal:view (002_seed.sql:37) and matched NO rung -> dead-ended on /login with a valid session. Same class: seeded Driver carries driver:portal not driver:self and also dead-ended. Both fixed and asserted. This is a REAL production defect that predates the run",Packet 9 report,WORKTREE,979c142,FIXED,Register as NEW-R1-10
R1-WB-016,NEW-R1-11,Packet 9 (found beyond brief),"RolePermissionDefaults grants telematics tokens to operational roles","Execute against EndpointMappings.cs:2308","Operational roles hold map/telematics view","FINDING: map:view, telematics:gps:view and telematics:devices:view are held ONLY by Super Admin, Company Admin and Reseller in the DEFAULTS. The DB seed does grant map:view/telematics:view to roles 3/4/7 so live sessions are mostly fine, but the fallback is bare. Concrete instance of NEW-R1-06 three-source drift",Packet 9 report,WORKTREE,979c142,ROUTED TO PACKET 8,Decision requested with evidence
R1-COORD-001,COORDINATION,Orchestrator,"Frontend permission-derived binding and backend name-based binding must land together","SendMessage to Packet 8 with the required signature change","Both sides agree on what a portal role is","GAP CLOSED IN FLIGHT: frontend now offers binding for Customer and Customer Viewer (permission-derived) but backend RequireCustomerBindableRole:14223 still tests roleName.Contains(Portal) -> would 400 exactly those roles. Instructed Packet 8 to adopt the same permission signature, fail-closed on unresolvable roles",SendMessage record,WORKTREE,979c142,INSTRUCTED,Verify both sides on Packet 8 completion
R1-P6-001,INSTRUMENTS,Packet 6 (verified by orchestrator),"The three guard tests can be made honest and will then detect real defects","Glob all 48 schema services + CREATE TABLE extraction; table-qualified matching; mechanical allowlist rule; char-literal parser + comment stripping + ordering assertion + non-literal route enumeration + all-28-controller coverage; orphan consumption rule; CI migration-pure oracle","Corrected instruments detect what the originals concealed","VERIFIED HONEST. Detection at moment of repair (pre-stage88): 51 runtime-only TABLES of which 19 referenced by controller SQL; 316 runtime-only columns; 58 of 83 allowlist entries violated the new mechanical rule; 10 orphans / 33 tables truly violating (the 6 named PLUS stage41 fin_config_*). Gate parser: bodies >30k chars went 31 -> 2; largest 2,387,562 -> 157,358. Route coverage 683 -> 1002 across 28 files. Validated against staging_upgrade with ZERO false positives and ZERO false negatives",Packet 6 report + orchestrator test run,WORKTREE,979c142,INSTRUMENTS HONEST,Allowlist retired by orchestrator
R1-P6-002,INSTRUMENTS,Packet 6 (found beyond brief),"The only instrument defects are the ones the orchestrator named","Independent audit of the instruments themselves","Additional holes surfaced","SIX MORE HOLES FOUND, one a MIRROR-IMAGE FALSE ACCUSATION: tuple/parenthesised return types were invisible to the method regex, so 6 /api/portal/* routes reported UNGATED although ResolvePrincipalAsync gates them. Also: method bodies indexed by bare name across the concatenated corpus (53 duplicate names, longest wins); entitlement wrappers RequireModule/RequirePack miscounted as AUTHORIZATION; index tuples parsed as column tuples injecting 66 phantom columns (a fabricated defect, caught before reporting); clause-fragment SQL invisible to the corpus; and the chronological-order test was self-invalidating",Packet 6 report,WORKTREE,979c142,ALL FIXED,None
R1-ORCH-001,ALLOWLIST-RETIREMENT,Orchestrator,"The 83-entry allowlist is obsolete now that stage88 enrolled every declaration","Delete the block; replace with an empty shrink-only ratchet + rationale; rerun the three instrument classes","All instrument tests pass with an empty allowlist","DONE: 101 lines removed, 8 inserted. RuntimeSchemaMigrationParityTests + MigrationRunnerEnrollmentParityTests + EndpointMappingsSecurityHardeningTests = 28/28 PASS with ZERO allowlisted columns. The grandfathering that concealed DEF-017 is gone",dotnet test 28/28,WORKTREE,979c142,DONE,None
R1-ORCH-002,FALSE-ALARM,Orchestrator,"SqlStatementSplitterTests corpus failure on stage88 is a real splitter defect","Run the splitter suite directly against the completed stage88 file","Determine if the splitter shreds stage88","FALSE ALARM — NO DEFECT. 12/12 PASS. Packet 6 observed stage88 MID-WRITE while Packet 7 was generating it; the reported unbalanced dollar-quote was a partial file, not a comment-parsing bug as diagnosed. Verified before dispatching any fix. Lesson: concurrent packets can produce phantom failures in corpus-scanning tests",dotnet test SqlStatementSplitterTests 12/12,WORKTREE,979c142,NO ACTION,None
R1-G1-REPROVE,GATE-1,Orchestrator,"With stage88 the core journey contracts resolve on a MIGRATION-PURE oracle (the test that forced the retraction)","Re-run all 8 contracts against opstrax_migration_pure (chain-only, never booted against)","All contracts resolve","ALL 8 OK: hos_records, routes sla_risk+efficiency_score CASE, routes summary AVG/SUM, work_orders.asset_id, safety_events event_number+incident_status, audit_logs severity/module_key/action_type, expenses approval_status/receipt_status, tenant_api_keys. routes 16 -> 24 columns; 335 -> 336 tables. DEF-017 and DEF-019 now genuinely resolve on the correct oracle. NOT YET Gate 1 PASS — awaiting Packet 7's own (a)-(e) proof, Packet 8, and Wave C round 2",psql against opstrax_migration_pure,WORKTREE,979c142,EVIDENCE STRONG — GATE 1 STILL PENDING,Do not declare PASS until Packet 7 proof + independent review
R1-P8-001,C-DB-1,Packet 8 (fail-before/pass-after verified),"Returning the credential UPDATE to the system identity restores the kill switch without losing the evidence additions","DeviceRevoke back to RunInSystemTransactionAsync keeping FOR UPDATE read, replay guard, transition ledger row and audit row; test re-pointed to the restricted-role harness","Revoke works under the restricted runtime identity","FIXED AND PROVEN BOTH DIRECTIONS: reverted handler -> test fails with 42501 permission denied for table eld_devices (1 failed); fixed handler -> 2/2 pass. Live catalog reconfirmed opstrax_app lacks UPDATE on all 9 credential columns while opstrax_system holds all 9. NEW GUARD TEST fails if anyone 'fixes' this by granting the app role what stage76 forbids",artifacts/backend-db-RETEST-R1-packet8.trx,WORKTREE,979c142,FIXED — AWAITING WAVE C ROUND 2,Re-review
R1-P8-002,C-SEC-1,Packet 8 (verified with adversarial fixtures),"Restricting the backfill to provably-safe rows removes the silent privilege escalation","Backfill only half-provisioned or provably-no-op rows; hold the rest in stage87_role_backfill_review with exact would_gain/would_lose; delete user_sessions for rows written","No user gains permissions silently","FIXED: on 8 adversarial fixtures — 4 backfilled, 3 HELD for review, 1 unresolvable. The predicted worst case was caught: a trimmed-json Company Admin that would have gained * is held with would_gain={*} and its session preserved. Against real data the OLD migration would have changed 4 of 5 resolvable users (+17,+16,+7,+1 permissions)",Packet 8 report + Stage87RoleBackfillSafetyPostgresTests,WORKTREE,979c142,FIXED — AWAITING WAVE C ROUND 2,Re-review
R1-P8-003,SELF-FOUND,Packet 8 (found by its own tests),"The stage87 repair introduced no new hazards","Adversarial testing of the repair itself","Repair is clean","TWO HAZARDS SELF-CAUGHT: (1) the FORCE-RLS guard did not cover user_sessions, so for a non-superuser owner the session-revocation DELETE would have silently matched ZERO rows — defeating the exact guarantee the fix required; (2) naming the review table's tenant column company_id would have AUTO-ENROLLED a migration artifact into the readiness tenant contract (FleetProductionReadinessService derives it dynamically from any bigint company_id/tenant_id column), failing the contract and turning /health/ready RED — withholding Render traffic. Renamed owner_company_id; zero contract violators verified",Packet 8 report,WORKTREE,979c142,BOTH FIXED,None
R1-P8-004,ADDITION-A,Packet 8 (corrected the orchestrator),"The bindable-role predicate should be customer_portal:view AND NOT dashboard:view","Mirror the SHIPPED sessionRouting predicate rather than the orchestrator's simplified rule","Backend and frontend agree","ORCHESTRATOR INSTRUCTION WAS SUBTLY WRONG AND WAS CORRECTED: the rule I specified would have captured internal Customer Service and CRM & Sales Manager, and binding one of those would have locked a back-office account out of every internal endpoint — recreating the brick-class this packet repairs. Packet 8 mirrored the shipped isPortalConfinedSession predicate instead (wildcard never bindable; customer_portal:view required; any internal direct grant disqualifies). Customer and Customer Viewer now bindable; fail-closed on unresolvable roles; 15 test cases",Packet 8 report,WORKTREE,979c142,FIXED — BOTH SIDES ALIGNED,Verify alignment in Wave C round 2
R1-P8-005,ADDITION-B,Packet 8 (evidence-based partial decline),"All four operational roles should hold telematics tokens in the defaults","Compare defaults against 002_seed.sql role grants","Reconcile fallback with seed","IMPLEMENTED FOR 2, DECLINED FOR 2 WITH EVIDENCE: seed grants Fleet Manager map:view+telematics:view and Dispatcher map:view — added. NO seeded role holds telematics:devices:view — added to nobody. Declined Maintenance Manager (no seed row; analogue Mechanic has neither) and Read-Only Auditor (map:view would hand a read-only role live GPS via the live-state alias group). Tightness preserved: fleet:view alone still satisfies neither target permission",Packet 8 report,WORKTREE,979c142,DONE,None
R1-P8-006,ROUTED,Packet 8,"All instances of the repaired defect classes are within packet scope","Sweep for siblings outside owned files","Siblings identified","ROUTED OUT: (1) PlatformEndpoints.cs ~:1478 and ~:2826 carry the same unguarded role-id subselect as the seeder — :1478 takes the role name from the REQUEST BODY so it is the live one; allowlisted by filename with an owner note. (2) Stage9OperationalFoundationService.cs:233 has the same untrimmed driver-status blocklist. (3) Safety Manager defaults lack telematics:view that seed role 7 grants",Packet 8 report,WORKTREE,979c142,OPEN — FOLLOW-UP,Assign after Packet 7
R1-ORCH-003,PHANTOM-CONFIRMED,Orchestrator,"The splitter corpus failure reported by TWO packets is real","Re-run SqlStatementSplitterTests against the COMPLETED stage88 file","Determine reality","PHANTOM CONFIRMED TWICE OVER: 12/12 PASS on both orchestrator runs. Packets 6 AND 8 each read stage88 mid-write while Packet 7 generated it; one even diagnosed a specific comment-parsing bug that does not exist. Corpus-scanning tests are unsafe to trust while a concurrent packet is writing the corpus",dotnet test x2,WORKTREE,979c142,NO DEFECT,Serialize the final certification run
R1-ORCH-004,CONCURRENCY,Packet 8 (measured),"Parallel packets can share the isolated database safely","Observed 6 RLS failures + 40P01 deadlock in a shared run; 9/9 clean on isolation","Determine interference","CONFIRMED INTERFERENCE: concurrent packets writing opstrax_local produce spurious RLS/readiness failures and deadlocks that vanish on isolation. GATE 5 CERTIFICATION MUST RUN SERIALIZED with no other packet active, or its counts are untrustworthy",Packet 8 report,WORKTREE,979c142,CONSTRAINT ACCEPTED,Gate 5 runs alone
R1-G5-001,GATE-5,Orchestrator,"A serialized full certification run reflects the true state of the tree","All lanes executed with no concurrent packet active","Exact counts per lane","EXECUTED: .NET non-DB 1670/1670; .NET DB 431/431 on retry (1 intermittent failure run 1); telematics protocols 39/39, security 47/47, integration 177/177; Node build+typecheck PASS, security 6/6; frontend tsc PASS, build+bundle PASS, both contract scripts PASS; warning ratchet PASS 486 vs ceiling 487. TOTAL 2371 tests, 0 failing at rest",artifacts/GATE5-*.trx,WORKTREE,979c142,GATE 5 PASS WITH ONE RECORDED FLAKE,Wave C round 2 before Gate 6
R1-G5-002,NEW-R1-12,Orchestrator,"The DB-lane failure is a regression from this run's packets","Extract trx message; git diff the test and handler; check leftover rows; run isolated; retry lane once","Determine regression vs flake","NOT A REGRESSION — INTERMITTENT TEST. TelemetryLineagePostgresTests.BreadcrumbApi_ReturnsPersistedPerEventOperationalLineage failed with Assert.Single collection empty (200 OK, zero points). Test file UNTOUCHED by this run; TelemetryBreadcrumbs handler UNTOUCHED; zero leftover rows; PASSES in isolation 1/1; lane PASSES on retry 431/431. Handler filters event_time BETWEEN and a branch-scope EXISTS so it is sensitive to concurrent tests mutating vehicles/branches",artifacts/GATE5-backend-db.trx + isolation run,WORKTREE,979c142,OPEN — MEDIUM TEST HYGIENE,Register as NEW-R1-12; fix ordering/isolation in a follow-up
R1-R2-001,C2-SEC-1,Wave C round 2 (verified by orchestrator by EXECUTION),"View-tier tokens do not satisfy manage-tier tokens","Execute shipped closure: settings:view->settings:manage, users:view->users:manage, roles:view->users:manage","View must not imply manage","CONFIRMED HIGH — PRIVILEGE ESCALATION: all three LEAK. Read-only Auditor (holds settings:view, users:view, roles:view by seed) can mint tenant API keys (POST /api/settings/api-keys), repoint tenant webhooks to an attacker URL (PUT /api/settings/webhook), rotate the signing secret, and flip feature flags. Operations Manager reaches the same surface. WORSE THAN REPORTED: my frontend run also shows settings:view->settings:update LEAKING (reviewer found it denied on the backend copy) — the two copies disagree. Both copies consistently wrong on the manage tokens, so it is not mirror drift",scratchpad/r2check.mjs execution,WORKTREE,979c142,MUST FIX — BLOCKS RELEASE,Make the three view groups one-way in BOTH copies + negative assertions
R1-R2-002,C2-SEC-2,Wave C round 2 (verified by orchestrator),"The alias mirror completed in this run covers every telemetry group","Count each group's occurrences in EndpointMappings vs FoundationServices","All groups mirrored","CONFIRMED HIGH — THE DEVICE KILL SWITCH IS UNREACHABLE: telemetry.devices.manage EM=11 FS=0; telemetry.alerts.read EM=2 FS=0; telemetry.alerts.manage EM=3 FS=0; telemetry.rules.manage EM=2 FS=0. Four groups are DEAD IN ENFORCEMENT. DeviceRevoke/Suspend/Activate gate on telemetry.devices.manage (:16984/:17031) so ONLY wildcard roles can revoke a compromised device. Frontend says fleet:manage->telemetry.devices.manage is TRUE so the SPA renders the control and the API 403s it",orchestrator grep + closure execution,WORKTREE,979c142,MUST FIX — BLOCKS RELEASE,Mirror the 4 groups + replace hand-written MirroredGroups list with an enumeration
R1-R2-003,DEF-023-CHAIN,Orchestrator,"Fixing the revoke DB privilege made device revocation operable","Chain analysis across both Wave C rounds","Revoke works for an operator role","REVOKE WAS BROKEN IN TWO INDEPENDENT WAYS. Round 1 found it would 42501 under the restricted DB role (fixed by Packet 8). Round 2 finds the REQUIRED PERMISSION is unreachable by every non-wildcard role. Fixing the first did not reveal the second because the test ran with a wildcard/owner context. DEF-023 CANNOT be certified as fixed until both are closed",Both Wave C rounds,WORKTREE,979c142,DEF-023 STILL FAILING,Blocks Gate 6
R1-R2-004,C2-SEC-3,Wave C round 2,"Platform tenant-user creation resolves role_id consistently with its validation","Compare validation LOWER(name)=LOWER(@r) at :1451 vs subselect name=@role at :1478","Same matching rule","CONFIRMED MEDIUM: validation is case-insensitive, the role_id subselect is case-SENSITIVE. roleName 'dispatcher' passes validation and resolves role_id NULL; the session then falls through to RolePermissionDefaults (an OrdinalIgnoreCase dictionary that DOES match the variant), granting hardcoded defaults instead of the tenant's narrowed role. Also re-creates the DEF-021 NULL role_id it was written to fix",Wave C round 2 live catalog proof,WORKTREE,979c142,MUST FIX,Use one matching rule; store the canonical role name
R1-R2-005,C2-SEC-4,Wave C round 2,"stage87's no-op equality classification is attack-proof","Attack alias/duplicate/ordering/casing/whitespace/JSON-shape vectors","No misclassification","MOSTLY SOUND — ONE SURVIVOR: alias, duplicate, ordering, casing, whitespace and empty-string vectors all REFUTED by execution. But a non-array permissions_json (object/string/number/bool) normalises to {} while failing half_provisioned, so {} <@ {} is TRUE and the row is classified provably-no-op. A user with role_name='Company Admin' and a legacy JSON object would be backfilled and then hit the Count==0 -> RolePermissionDefaults fallback = wildcard. NOT reachable on current data (empty_grants=0 both DBs) but a latent trap for the legacy production database this migration exists to repair",Wave C round 2 expression proofs,WORKTREE,979c142,MUST FIX,Add jsonb_typeof(user_json)='array' to the no-op arm
R1-R2-006,C2-SEC-5,Wave C round 2,"SchemaInit:RunRuntimeDdl cannot re-enable DDL in a protected environment","Read ResolveRuntimeSchemaDdlAsync branch order","Protected environment is an absolute floor","CONFIRMED LOW: the config branch is evaluated BEFORE IsProtectedEnvironment, so the header comment's 'protected -> false, always' is untrue. Setting SchemaInit__RunRuntimeDdl=true in production re-enables the retired boot DDL; every EnsureAsync then 42501s and RunSchemaStep swallows them, so it is a warning storm not a divergence. The identity assertion remains fail-closed and independent of the flag",Wave C round 2,WORKTREE,979c142,FIX,Move the protected-environment check above the config check
R1-R2-007,C2-DB-1,Wave C round 2 (verified + FIXED by orchestrator),"stage88 enrols only harmless columns","Execute the real controller INSERT from EndpointMappings.cs:10474 against the stage88 schema","Job status transitions succeed","CONFIRMED BLOCKER — THEN FIXED. stage88 applied SET NOT NULL to job_status_events.to_status, a column NO code path writes. The real INSERT failed with 23502, breaking job archive (:6601), resources-assigned (:6662), PATCH status (:6719) and POD->Delivered (:15663) — the core job lifecycle. job_status_events is ABSENT from the readiness contract (0 references) so /health/ready would have stayed GREEN while every transition 500'd. Root cause: the generator classified to_status as controller-referenced by matching the NAME alone (it occurs on eld_malfunction_history and fin_config_change_log, never this table); the declaration itself comes from a CREATE TABLE body that never executes. FIX: NOT NULL removed, columns retained for parity, all three marked with COMMENT ON COLUMN naming the live column (previous_status/new_status). Verified on a fresh migration-pure DB: INSERT 0 1, all 8 core contracts OK, 2nd apply 0 errors",r2_fix_proof verification,WORKTREE,979c142,FIXED BY ORCHESTRATOR,Regenerate emitter to match (table,column) pairs — follow-up
R1-R2-008,C2-DB-2,Wave C round 2,"stage87's FORCE-RLS lift covers every table it reads","Reassign roles/role_permissions to a NOSUPERUSER NOBYPASSRLS owner and run stage87's own token expression","role_tokens computed correctly","CONFIRMED HIGH: stage87 lifts FORCE RLS on users/roles/user_sessions but READS role_permissions, which is also FORCE RLS with no owner policy. Under a non-superuser owner — the Neon/production shape this guard exists for — role_tokens silently omits every role_permissions grant. Executed proof: true set {billing.write, jobs.read} vs computed {jobs.read}. That converts a genuine WIDENING into provably-no-op and writes role_id. INVISIBLE IN OUR RIG because zayra is superuser. Also corrupts would_gain/would_lose in the review table",Wave C round 2 scratch-clone proof,WORKTREE,979c142,ROUTED TO PACKET 10,Add role_permissions to the lift/restore trio
R1-R2-009,C2-DB-3,Wave C round 2,"stage88 adds exactly the 1006 measured columns","Compare stage88's 1051 added columns against the dev catalogue","Added set equals measured set","CONFIRMED MEDIUM: stage88 adds 1051 columns; the measured defect was 1006. The extra 44 exist in NEITHER database — they come from dead CREATE TABLE bodies. Several are permanent NAMING NEAR-MISSES beside the column the code actually uses: job_status_events from_status/to_status vs previous_status/new_status; driver/vehicle_compliance_status violation_count vs violations_count; customer_feedback comments vs comment; route_paths distance_miles vs total_distance_km (a MILES column beside a KM column); *_safety_scorecards calculated_at vs created_at. A future query reaching for one now returns NULL instead of failing loudly with 42703",Wave C round 2,WORKTREE,979c142,PARTIALLY MITIGATED,"job_status_events trio commented in-DB; regenerate emitter on (table,column) pairs to drop all 44"
